# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-79.0107,-0.446823,0.00545108
-79.0107,0.542431,0.00546018
-79.0104,-1.43608,0.00544235
-79.0104,1.53168,0.00546922
-79.0099,-2.42533,0.00543304
-79.0098,2.52094,0.00547827
-79.009,-3.41458,0.00542391
-79.0089,3.51019,0.00548867
-79.0078,-4.40384,0.00541462
-79.0077,4.49945,0.00550339
-79.0063,-5.39309,0.00540501
-79.0062,5.4887,0.00551667
-79.0046,-6.38235,0.00539569
-79.0044,6.47795,0.00552112
-79.0025,-7.3716,0.00538653
-79.0023,7.46721,0.00552579
-79.0001,-8.36085,0.00537772
-78.9999,8.45646,0.00553413
-78.9974,-9.35011,0.00536936
-78.9972,9.44571,0.00554257
-78.9944,-10.3394,0.00536206
-78.9941,10.435,0.00555145
-78.9911,-11.3286,0.00535502
-78.9908,11.4242,0.00556072
-78.9874,-12.3179,0.00534916
-78.9871,12.4135,0.00557426
-78.9835,-13.3071,0.00534478
-78.9831,13.4027,0.00532589
-78.9791,-14.2964,0.0053419
-78.9745,-15.2856,0.00534017
-78.9695,-16.2749,0.00534114
-78.9641,-17.2641,0.00534797
-78.9583,-18.2534,0.00537306
-78.9522,-19.2426,0.0053895
-78.9457,-20.2319,0.0054068
-78.9388,-21.2212,0.00542317
-78.9315,-22.2104,0.00543274
-78.9237,-23.1997,0.00544416
-78.9156,-24.1889,0.00545623
-78.9069,-25.1782,0.00547119
-78.8978,-26.1674,0.00548819
-78.8882,-27.1567,0.00550727
-78.8781,-28.1459,0.00553205
-78.8675,-29.1352,0.00555969
-78.8563,-30.1244,0.00559225
-78.8446,-31.1137,0.00561677
-78.8322,-32.1029,0.00564171
-78.8193,-33.0922,0.00566837
-78.8057,-34.0815,0.00569709
-78.7914,-35.0707,0.00572803
-78.7763,-36.06,0.0056058
-78.7606,-37.0492,0.005
-78.0214,-0.446823,0.00557053
-78.0214,0.542431,0.00558595
-78.0209,-1.43608,0.00555898
-78.0208,1.53168,0.0056061
-78.0197,-2.42533,0.00554598
