# gsimlt_path=b1,smlt_path=b1,imt=PGA,investigation_time=50.0
lon,lat,iml
-79.0107,-0.446823,0.005
-79.0107,0.542431,0.005
-79.0104,-1.43608,0.005
-79.0104,1.53168,0.005
-79.0099,-2.42533,0.005
-79.0098,2.52094,0.005
-79.009,-3.41458,0.005
-79.0089,3.51019,0.005
-79.0078,-4.40384,0.005
-79.0077,4.49945,0.005
-79.0063,-5.39309,0.005
-79.0062,5.4887,0.005
-79.0046,-6.38235,0.005
-79.0044,6.47795,0.005
-79.0025,-7.3716,0.005
-79.0023,7.46721,0.005
-79.0001,-8.36085,0.005
-78.9999,8.45646,0.005
-78.9974,-9.35011,0.005
-78.9972,9.44571,0.005
-78.9944,-10.3394,0.005
-78.9941,10.435,0.005
-78.9911,-11.3286,0.005
-78.9908,11.4242,0.005
-78.9874,-12.3179,0.005
-78.9871,12.4135,0.005
-78.9835,-13.3071,0.005
-78.9831,13.4027,0.005
-78.9791,-14.2964,0.005
-78.9745,-15.2856,0.005
-78.9695,-16.2749,0.005
-78.9641,-17.2641,0.005
-78.9583,-18.2534,0.005
-78.9522,-19.2426,0.005
-78.9457,-20.2319,0.005
-78.9388,-21.2212,0.005
-78.9315,-22.2104,0.005
-78.9237,-23.1997,0.005
-78.9156,-24.1889,0.005
-78.9069,-25.1782,0.005
-78.8978,-26.1674,0.005
-78.8882,-27.1567,0.005
-78.8781,-28.1459,0.005
-78.8675,-29.1352,0.005
-78.8563,-30.1244,0.005
-78.8446,-31.1137,0.005
-78.8322,-32.1029,0.005
-78.8193,-33.0922,0.005
-78.8057,-34.0815,0.005
-78.7914,-35.0707,0.005
-78.7763,-36.06,0.005
-78.7606,-37.0492,0.005
-78.0214,-0.446823,0.005
-78.0214,0.542431,0.005
-78.0209,-1.43608,0.005
-78.0208,1.53168,0.005
-78.0197,-2.42533,0.005
-78.0196,2.52094,0.005
-78.018,-3.41458,0.005
-78.0178,3.51019,0.005
-78.0156,-4.40384,0.005
-78.0154,4.49945,0.005
-78.0127,-5.39309,0.00557927
-78.0124,5.4887,0.005
-78.0092,-6.38235,0.00590374
-78.0088,6.47795,0.005
-78.005,-7.3716,0.00596415
-78.0046,7.46721,0.005
-78.0002,-8.36085,0.00559794
-77.9997,8.45646,0.005
-77.9949,-9.35011,0.005
-77.9943,9.44571,0.005
-77.9888,-10.3394,0.005
-77.9882,10.435,0.005
-77.9822,-11.3286,0.005
-77.9815,11.4242,0.005
-77.9749,-12.3179,0.005
-77.9741,12.4135,0.005
-77.9669,-13.3071,0.005
-77.9661,13.4027,0.005
-77.9583,-14.2964,0.005
-77.9489,-15.2856,0.005
-77.9389,-16.2749,0.005
-77.9282,-17.2641,0.005
-77.9167,-18.2534,0.005
-77.9044,-19.2426,0.005
-77.8914,-20.2319,0.005
-77.8776,-21.2212,0.005
-77.863,-22.2104,0.005
-77.8475,-23.1997,0.005
-77.8311,-24.1889,0.005
-77.8138,-25.1782,0.005
-77.7956,-26.1674,0.005
-77.7764,-27.1567,0.005
-77.7562,-28.1459,0.005
-77.735,-29.1352,0.005
-77.7126,-30.1244,0.005
-77.6891,-31.1137,0.005
-77.6645,-32.1029,0.005
-77.6385,-33.0922,0.005
-77.6113,-34.0815,0.005
-77.5827,-35.0707,0.005
-77.5527,-36.06,0.005
-77.5212,-37.0492,0.005
-77.0321,-0.446823,0.005
-77.0321,0.542431,0.005
-77.0313,-1.43608,0.005
-77.0312,1.53168,0.005
-77.0296,-2.42533,0.005
-77.0294,2.52094,0.005
-77.027,-3.41458,0.00557238
-77.0267,3.51019,0.005
-77.0235,-4.40384,0.00677484
-77.0231,4.49945,0.005
-77.019,-5.39309,0.00762379
-77.0186,5.4887,0.005
-77.0137,-6.38235,0.00794262
-77.0132,6.47795,0.005
-77.0075,-7.3716,0.00799691
-77.0069,7.46721,0.005
-77.0004,-8.36085,0.00771716
-76.9996,8.45646,0.005
-76.9923,-9.35011,0.00684212
-76.9915,9.44571,0.005
-76.9833,-10.3394,0.0055376
-76.9823,10.435,0.005
-76.9733,-11.3286,0.005
-76.9723,11.4242,0.005
-76.9623,-12.3179,0.005
-76.9612,12.4135,0.005
-76.9504,-13.3071,0.005
-76.9492,13.4027,0.005
-76.9374,-14.2964,0.005
-76.9234,-15.2856,0.005
-76.9084,-16.2749,0.005
-76.8923,-17.2641,0.005
-76.875,-18.2534,0.005
-76.8567,-19.2426,0.005
-76.8371,-20.2319,0.005
-76.8164,-21.2212,0.005
-76.7944,-22.2104,0.005
-76.7712,-23.1997,0.005
-76.7467,-24.1889,0.005
-76.7207,-25.1782,0.005
